interface_id,interface,access_class,authentication,research_noncommercial_use,commercial_use,attribution,redistribution,cached_derivative_data,api_output_retention,public_artifact_use,automation_potential,connector_priority,evidence_url,actual_test
gfw_vessel_search_ui,Vessel Search basic interactive view,OPEN_INTERACTIVE_VIEW,not required for basic documented search; actual workspace failed,allowed subject to GFW site/service terms,not established,GFW attribution required for reused service data,dataset-specific; not established by UI availability,not stated for this interface,not applicable,not established beyond screenshots/share links,low; interactive and workspace-dependent,P2,https://globalfishingwatch.org/vessel-viewer-tool/,welcome text loaded; vessel workspace failed before search input
gfw_vessel_search_api,API v3 vessel identity search,ACCOUNT_REQUIRED,account and confidential Bearer token required,CC BY-NC 4.0; noncommercial only,not allowed without separate permission,provider-specified Powered by/citation required,dataset-specific; downstream attribution must persist,terms do not provide a separate blanket grant,no explicit duration found; cancellation storage clause is not a grant,allowed only subject to API and dataset terms,high after owner-supplied token,P1,https://globalfishingwatch.org/our-apis/documentation/docs/v3/vessels/search,HTTP 401 invalid token without Bearer token
gfw_individual_track_ui,Interactive individual track display,OPEN_INTERACTIVE_VIEW,documentation describes display; actual selection not reached,allowed subject to GFW site/service terms,not established,required when reused,not established by visibility,not stated,not applicable,share/profile functions documented,low; no raw position API documented in v3,P2,https://globalfishingwatch.org/user-guide/,not demonstrated because vessel workspace did not load
gfw_individual_track_export,Interactive individual track export,ACCOUNT_REQUIRED,free account required for data downloads,allowed subject to GFW service/dataset terms,not established; API terms are noncommercial,required,dataset-specific; not implied by download capability,not stated,not applicable,CSV/GeoJSON export is documented,low; no supported export automation documented,P1,https://globalfishingwatch.org/user-guide/,documented only; authentication unavailable in R3C environment
gfw_vessel_events_api,API v3 vessel events,ACCOUNT_REQUIRED,account and confidential Bearer token required,CC BY-NC 4.0; noncommercial only,not allowed without separate permission,provider-specified attribution required,dataset-specific; downstream attribution must persist,terms do not provide a separate blanket grant,no explicit duration found,subject to API and event-dataset terms,high after token and identity resolution,P1,https://globalfishingwatch.org/our-apis/documentation/docs/v3/events,HTTP 401 without Bearer token
gfw_global_presence_api,API v3/4Wings gridded vessel presence,ACCOUNT_REQUIRED,account and confidential Bearer token required,CC BY-NC 4.0; noncommercial only,not allowed without separate permission,provider-specified attribution required,dataset-specific,terms do not provide a separate blanket grant,no explicit duration found,subject to API/dataset terms,"high; output is aggregate, not individual tracks",P1,https://globalfishingwatch.org/our-apis/documentation/docs/v3/4wings,documentation inspected; token-gated
gfw_bulk_fishing_identity,Zenodo Fishing vessels v3 annual identity/activity,OPEN_BULK_ARCHIVE,none,allowed by CC BY-SA 4.0,allowed by CC BY-SA 4.0,required,allowed with share-alike,allowed with share-alike,not applicable,allowed with attribution/share-alike,high; checksum-pinned archive,P0,https://zenodo.org/records/14982712,checksum and schema passed; 17 exact crosswalk MMSI matches
gfw_bulk_fleet_monthly,Zenodo 0.1-degree monthly fleet archive,OPEN_BULK_ARCHIVE,none,allowed by CC BY-SA 4.0,allowed by CC BY-SA 4.0,required,allowed with share-alike,allowed with share-alike,not applicable,allowed with attribution/share-alike,high; aggregate grid only,P0,https://zenodo.org/records/14982712,R3 checksum/schema/spatial subset passed for 2022-2024
gfw_sar_api,GFW SAR detections API/tiles,ACCOUNT_REQUIRED,account/token required for API,API terms; dataset metadata also applies,not allowed without permission under API terms,required,dataset-specific,dataset-specific,no explicit duration found,dataset-specific,medium; detections are not vessel tracks,P1,https://globalfishingwatch.org/our-apis/documentation/docs/v3,not an individual-track interface
gfw_viirs_related,GFW VIIRS/night-light related map products,ACCOUNT_REQUIRED,product/interface dependent; map/API distinctions apply,API terms and dataset metadata apply,not allowed without permission for API use,required,dataset-specific,dataset-specific,no explicit duration found,dataset-specific,medium; detections are not vessel tracks,P2,https://globalfishingwatch.org/our-apis/documentation/docs/v3,not tested as individual-track source
dsm_watch_public_portal,Deep-Sea Mining Watch public portal,OPEN_INTERACTIVE_VIEW,"none for public heatmap, timebar, share, screenshot",public viewing; reuse terms not separately stated,not established,GFW and Benioff/UCSB attribution shown,not established,not stated,not applicable,map screenshot control exposed,low; public presentation/reference layer,P2,https://globalfishingwatch.org/platform/map/fishing-activity/deep-sea-mining-public,portal and timebar loaded without login
dsm_watch_vessel_event_access,Deep-Sea Mining Watch vessel search/details/event download,ACCOUNT_REQUIRED,actual UI required registration/login and denied vessel search,GFW service/dataset terms apply,not established,required,not established,not stated,no portal-specific API found,event download control documented by UI after login,unresolved until authenticated lawful test,P2,https://globalfishingwatch.org/platform/map/fishing-activity/deep-sea-mining-public,vessel search permission denied; event downloads login-gated
